duration,src_bytes,dst_bytes,packet_count,service_count,hour,protocol,service,congestion
4.244933877236189,1182,1399,17,3,21,UDP,http,0
3.5314311617832836,0,1965,29,3,21,UDP,smtp,0
2.190136190308682,1239,506,17,9,10,UDP,http,0
1.3647772575500035,1840,1582,20,3,4,UDP,http,0
7.587787645358931,346,82,17,4,22,UDP,dns,0
6.821505631397093,996,1273,16,1,20,TCP,ftp,0
0.5821439145304125,1058,249,25,2,11,TCP,ftp,0
3.7072784726353327,0,900,27,1,15,TCP,http,0
7.73670670789789,138,76,26,8,12,TCP,dns,0
8.230576398063933,927,1330,26,3,23,TCP,http,0
2.037152515629563,0,98,13,0,0,TCP,http,0
0.6107935729883179,3919,4802,56,7,17,TCP,other,1
5.630448083424971,3007,539,20,5,6,ICMP,http,0
8.362510541615553,895,573,19,4,14,ICMP,smtp,0
1.262566162248386,1703,726,15,3,21,UDP,other,0
6.958512024875237,1043,1079,21,3,10,TCP,dns,0
0.025528605246223225,655,233,19,3,5,ICMP,other,0
10.876375952903615,0,0,20,1,23,TCP,other,0
9.296103967736215,558,833,21,2,0,TCP,ssh,0
5.855254649683096,165,491,19,4,6,TCP,other,0
0.25491398066863347,1113,1012,30,3,4,TCP,http,0
1.3532936771727835,5796,2859,52,7,17,ICMP,http,1
3.5847044412641598,356,595,26,0,23,TCP,ftp,0
8.58969224566539,1901,914,19,2,23,UDP,ssh,0
1.366292526665478,1353,648,24,2,20,TCP,smtp,0
2.260408698709497,763,952,18,4,21,UDP,http,0
1.6125047108009287,668,614,18,3,11,TCP,other,0
3.420341849305108,1934,1330,25,6,23,ICMP,http,0
2.2274779235438147,5071,3133,82,4,9,TCP,http,1
2.0178426623087544,0,1072,22,2,21,TCP,dns,0
3.294613030504035,1867,394,21,3,11,TCP,http,0
6.314980945592526,4957,3006,57,2,7,TCP,http,1
5.834798422978173,1917,602,21,3,1,UDP,http,0
3.018486164209399,660,388,20,1,12,TCP,http,0
5.118848752838099,996,514,15,4,1,TCP,http,0
6.44920161200597,1195,994,12,5,6,UDP,ftp,0
2.9781684981347225,1502,2001,26,3,11,TCP,dns,0
14.29047146383167,3863,3100,61,4,17,ICMP,http,1
3.099828305036796,5443,4230,49,4,7,TCP,smtp,0
0.9228043925651854,1612,379,10,5,15,TCP,smtp,0
6.133595657340345,15,211,27,3,10,TCP,dns,0
1.3473679726967438,2125,1179,21,5,16,TCP,http,0
2.941801515756369,0,1690,19,2,0,TCP,dns,0
0.2996974897418629,5595,3229,60,5,7,TCP,http,1
1.1476473100289852,5769,2594,53,4,8,TCP,http,1
8.72419212438401,221,762,18,3,2,TCP,ftp,0
0.5477496845306635,2921,1298,22,5,23,TCP,dns,0
0.6221278645638298,2432,1006,22,0,5,TCP,ftp,0
0.8764417758409838,2176,1919,11,3,0,TCP,ssh,0
4.997832570503413,996,610,17,6,6,ICMP,ftp,0
1.7697470482953919,951,1256,23,3,15,TCP,ftp,0
2.06497608750324,1897,1347,20,3,3,UDP,ssh,0
1.1471323801515136,1451,246,22,1,2,TCP,ftp,0
3.0817096888329547,839,1236,16,1,14,TCP,ssh,0
14.732206729785249,1581,0,12,7,22,TCP,http,0
16.185842877807602,1734,0,17,6,0,UDP,http,0
1.9237423519667496,1784,501,15,5,11,TCP,dns,0
4.597517069643048,2893,0,17,2,0,TCP,http,0
7.365630777162573,5052,2341,74,3,17,TCP,ssh,1
1.1174086973586217,4245,2819,60,3,19,TCP,smtp,1
1.5926767303942042,5712,3177,66,3,7,TCP,http,1
7.222030641056475,5202,3699,59,6,8,TCP,http,1
6.433970109844464,1789,0,21,2,0,TCP,ftp,0
1.4503837955380516,1612,724,25,3,4,ICMP,http,0
7.9686293475962655,1355,990,14,4,5,TCP,smtp,0
4.379695910737469,551,945,6,4,21,TCP,http,0
2.7473259656877667,501,330,23,1,11,ICMP,http,0
0.3624860982422527,2093,517,22,3,23,TCP,ssh,0
4.396163934602352,1628,222,20,1,22,TCP,ssh,0
11.150241164957286,4855,3273,73,5,17,UDP,http,1
12.984750113798858,1854,727,17,2,13,TCP,ftp,0
16.4868755349811,1589,962,20,5,12,TCP,http,0
0.7099037677909679,587,159,19,4,1,TCP,ssh,0
4.00373053831956,1545,276,22,2,4,TCP,ssh,0
3.6759501893455466,297,1167,27,3,14,ICMP,http,0
18.519031662898893,5357,3226,44,2,19,ICMP,http,0
18.204125274908463,5574,2692,52,1,7,TCP,ftp,1
3.3172144846372316,3727,2783,58,4,17,TCP,smtp,1
5.980088033915231,1409,1408,15,4,13,TCP,other,0
1.0821137999096382,572,445,19,4,4,TCP,http,0
1.2348161255543753,1246,332,23,5,0,TCP,http,0
2.5620809771691864,707,909,17,4,1,TCP,http,0
0.3515212077501113,1477,621,22,4,21,UDP,http,0
2.174989622513501,5542,3737,58,3,8,TCP,http,1
1.613209598495227,0,0,15,6,22,ICMP,http,0
4.3332014071890015,5434,3719,62,4,18,TCP,http,1
11.321616722554003,5187,3213,59,2,8,TCP,other,1
34.14909491227308,5919,2821,53,3,8,TCP,http,1
2.1862069920511007,4869,2872,58,3,9,TCP,http,1
13.390413991796423,596,853,25,4,2,TCP,http,0
3.7149707204410403,767,669,17,2,1,TCP,http,0
2.025474169477342,306,0,14,3,5,UDP,http,0
10.569161555026872,5465,3446,61,2,19,TCP,http,1
1.5668551704575167,252,1428,24,1,1,TCP,http,0
7.521240454908417,5010,2221,62,2,7,TCP,other,1
7.947447485554699,3730,2572,57,1,7,TCP,http,1
0.8728424028795921,79,770,15,2,11,TCP,other,0
3.075962005925941,2180,706,20,5,15,UDP,http,0
2.678581253174629,2649,549,20,3,3,TCP,http,0
9.595208277022872,5121,2643,64,1,8,ICMP,ftp,1
0.9308684648474137,5681,2636,73,4,9,TCP,http,1
0.7096717669081772,0,823,17,3,20,TCP,other,0
8.293871491389657,633,337,20,4,5,UDP,http,0
1.49414789024612,1389,611,21,1,4,TCP,http,0
1.3592431819759545,720,1168,13,5,20,UDP,http,0
3.3779267384668783,905,594,20,7,21,TCP,dns,0
2.8489385011600517,1665,801,16,2,13,TCP,ftp,0
2.997836682505127,1727,939,18,8,3,UDP,smtp,0
0.3530743070770407,2266,1442,18,1,23,TCP,http,0
6.312144123985159,942,676,16,3,15,UDP,ssh,0
3.6474751953793034,547,1118,17,4,0,TCP,http,0
0.18429058742400756,1583,1356,19,3,21,TCP,http,0
6.820632686466716,5459,2952,62,3,8,TCP,dns,1
6.061257702644387,0,310,24,5,11,UDP,http,0
3.8500081717799866,2216,1093,15,4,16,TCP,other,0
7.152807647755106,0,1422,16,7,16,TCP,ftp,0
3.913263564511722,487,779,15,0,20,TCP,http,0
10.112976000024695,0,565,27,2,1,UDP,ssh,0
6.593175522667827,168,803,16,5,3,TCP,dns,0
0.7516608375588115,1427,585,18,4,6,TCP,http,0
0.7872144496607101,875,632,19,0,15,TCP,http,0
3.379419389850946,5932,2603,56,4,8,TCP,other,1
2.290591403791134,6977,3442,66,4,18,TCP,http,1
1.7824000544934933,1817,0,17,1,4,TCP,http,0
2.4642883588548843,153,1302,22,3,3,TCP,http,0
2.1940382226331656,1476,1880,18,4,11,ICMP,dns,0
1.5617932803653616,137,534,18,3,1,UDP,ftp,0
2.463026911533683,1857,972,19,2,23,TCP,ssh,0
8.096290217583828,1381,1034,20,2,23,UDP,ftp,0
3.2993904462798613,5814,3661,58,3,17,TCP,ftp,1
3.6577331741586834,4672,2586,53,6,18,UDP,ftp,1
1.2954727424609225,1802,857,27,2,21,TCP,other,0
