duration,src_bytes,dst_bytes,packet_count,hour,protocol,service,congestion
7.776834573616066,4724,2914,51,9,TCP,smtp,1
0.8649135247540765,1563,240,20,1,TCP,ssh,0
0.0338446867334313,2566,478,17,11,TCP,http,0
2.0722608501145046,4167,3247,59,9,TCP,ssh,1
7.30898272783575,1252,1659,16,3,TCP,http,0
2.680098509526285,655,1106,20,1,TCP,ftp,0
2.5508554778644936,2330,949,20,10,TCP,ntp,0
4.618056929565899,3048,960,25,6,TCP,http,0
0.06353083571745448,621,95,18,11,TCP,ssh,0
1.5257615466577337,672,0,31,16,TCP,http,0
2.459415910326023,1505,1119,29,20,TCP,http,0
1.088191008518785,1838,529,23,5,TCP,smtp,0
6.9298162454055445,6179,2407,66,17,TCP,smtp,1
2.130867261483115,679,0,33,21,TCP,ntp,0
3.7864055310107783,745,939,18,20,TCP,ssh,0
0.12167990435282053,1363,1737,18,22,UDP,http,0
4.170368617997822,845,323,15,21,UDP,dns,0
5.4743310584902405,846,634,15,23,TCP,http,0
12.746467666456958,1605,1337,18,3,UDP,http,0
0.7490149065916021,916,0,20,15,UDP,ftp,0
3.9648950588343013,448,208,15,11,UDP,http,0
8.81527344862866,4989,3164,57,9,TCP,ssh,1
0.8974069861972529,4352,2895,64,17,ICMP,none,1
3.98602136671596,2725,1186,24,1,UDP,ntp,0
2.0186532598869174,937,61,20,6,UDP,http,0
14.849835718264828,1189,386,12,22,TCP,ssh,0
8.193633469895682,2258,836,15,23,TCP,ssh,0
0.2089197657284817,962,892,12,23,UDP,other,0
5.182885645327922,2667,2324,53,18,TCP,http,1
0.23927709098363295,1628,190,14,6,UDP,other,0
1.1140633864584846,494,1279,19,4,TCP,http,0
1.0030653000787428,1402,808,16,20,UDP,smtp,0
1.7982119980421603,1884,1352,13,12,ICMP,none,0
4.619868628501147,5204,2380,56,8,TCP,ssh,1
1.063616649538725,1689,141,16,4,TCP,other,0
0.6364871883842736,1216,944,15,21,TCP,http,0
2.790969470274122,0,345,22,3,TCP,smtp,0
2.310114750736161,318,1425,14,5,TCP,smtp,0
3.1675116796584213,714,659,18,10,TCP,http,0
6.176194458327639,1208,634,21,1,TCP,http,0
9.470747609208654,1109,472,18,14,TCP,dns,0
1.4611016018831728,1128,621,24,14,TCP,http,0
5.577064790489469,2278,0,23,12,UDP,other,0
3.864183254883221,3641,2597,43,18,TCP,http,0
11.781823194469977,63,543,26,23,TCP,ftp,0
1.128625408428506,0,955,26,15,TCP,ftp,0
1.4418045796172796,2544,599,15,13,TCP,http,0
10.57034213151883,6599,3068,67,19,TCP,ssh,1
8.140628252299637,1643,144,24,5,TCP,http,0
2.1446312886060435,314,1182,22,21,UDP,ntp,0
6.393877878859352,370,941,14,11,TCP,http,0
0.5143803934808623,1001,302,23,14,TCP,http,0
1.466764002888503,1048,711,18,6,UDP,smtp,0
5.907657365808594,1530,1141,12,15,UDP,http,0
0.9044455685278175,869,1527,14,2,TCP,ssh,0
2.501291656151778,452,711,19,11,UDP,dns,0
7.726167830774501,625,320,26,3,TCP,dns,0
1.1980469277690626,1699,423,19,2,TCP,other,0
9.745920238199986,486,1314,10,5,TCP,dns,0
26.609936537776804,6080,2722,61,9,UDP,http,1
4.814884465068882,0,0,15,14,TCP,other,0
5.983791768735387,3977,2997,51,7,TCP,ntp,1
2.039416913303231,2192,680,18,23,TCP,http,0
1.9027976729622575,0,1381,25,23,TCP,http,0
0.26420597066203433,517,301,18,14,TCP,http,0
4.949782742578758,1797,0,14,6,TCP,ftp,0
13.899544491196508,0,1163,11,23,TCP,http,0
0.5733193335511938,1652,221,10,23,TCP,http,0
2.4860930420213783,1130,988,21,4,TCP,http,0
0.6085999293845006,842,1274,18,4,TCP,ssh,0
0.9935456903355717,2301,671,17,22,TCP,ftp,0
0.1844815175466813,1521,915,17,10,TCP,dns,0
14.774766924550718,107,1918,23,23,TCP,dns,0
0.6110677496620136,0,0,21,20,TCP,smtp,0
0.11927131947292265,4056,2459,54,19,ICMP,none,1
10.292455989085768,475,1193,22,2,TCP,http,0
1.3972249589042618,91,134,17,10,UDP,dns,0
4.1443303923658945,1304,1320,21,0,TCP,http,0
2.358515273377039,521,926,27,23,TCP,http,0
1.4330785696487502,468,1110,21,0,TCP,other,0
4.669605018234584,5337,2913,68,9,TCP,http,1
1.8970524251794694,1516,350,19,0,TCP,http,0
4.005503974239405,5675,2883,75,7,ICMP,none,1
6.974910498601177,361,0,17,15,TCP,other,0
14.488730992866053,6147,3292,61,19,TCP,dns,1
1.3032030322269337,3845,2664,49,17,TCP,smtp,0
7.286246219127897,894,811,21,15,TCP,http,0
2.3906403578682904,791,915,22,21,UDP,dns,0
2.786865783315266,5893,2942,71,18,TCP,http,1
10.82567644130266,3554,3014,70,7,UDP,ssh,1
2.9669124701298277,5943,2912,63,7,TCP,smtp,1
0.22668829429886606,0,1068,20,22,TCP,ftp,0
4.178229901993874,4830,2997,59,18,TCP,dns,1
7.975761994093194,5183,3137,51,8,TCP,ftp,1
1.8325413907524621,1868,473,15,0,TCP,http,0
2.5718041391422934,1054,703,20,16,TCP,http,0
3.315029175377311,5485,3081,65,17,TCP,http,1
0.3739369880366576,360,1062,20,3,TCP,http,0
